First Steps,first_steps.png
Taught,taught.png
Two Dozen,two_dozen.png
Century,century.png
Past the Ramp,past_the_ramp.png
Thousand,thousand.png
Quarter,quarter.png
Halfway,halfway.png
Pitchpole,pitchpole.png
Untouched,untouched.png
Flawless Teaching,flawless_teaching.png
Ten Clean,ten_clean.png
Hundred Clean,hundred_clean.png
Untouchable,untouchable.png
Star Hoard,star_hoard.png
Constellation,constellation.png
Every Star,every_star.png
Pocket Change,pocket_change.png
Sweep,sweep.png
Sweeper,sweeper.png
Coin Baron,coin_baron.png
All That Glitters,all_that_glitters.png
Featherfoot,featherfoot.png
Held Ground,held_ground.png
Full Tilt,full_tilt.png
Range,range.png
Every Flavour,every_flavour.png
No Retreat,no_retreat.png
Every Threat,every_threat.png
Ten in a Row,ten_in_a_row.png
Marathon,marathon.png
Stubborn,stubborn.png
